SupplierID,SKU,Barcode
00001,236-fik-735,z2783613083817
00001,294-dwp-252,n7405223693844
00001,460-mem-599,c7417468772846
00001,529-pxr-163,w3744746803743
00001,535-lbn-846,w2572813758673
00001,757-yrv-483,s7013910076253
00001,854-kxk-820,m1161615509466
00002,057-fde-571,p2359014924610
00002,195-oav-849,a7802303764525
00002,388-lqz-920,o5194275040472
00002,477-lqv-949,j9023946968130
00002,541-fac-069,x5678105140949
00002,550-mjl-845,c9083052423045
00002,554-las-773,f4322915485228
00002,806-rkq-028,i0471865670980
00002,918-tyi-245,b4381274928349
00003,114-met-798,u5160747892301
00003,293-axs-772,m8967092785598
00003,395-der-191,l7342139757479
00003,472-vfw-774,p1667270888414
00003,599-cqe-974,v0874763455559
00003,615-toq-322,p9774916416859
00003,616-uwp-964,c4858834209466
00003,617-ujq-725,x7331732444187
00003,654-rwy-479,u7720008047675
00003,769-wem-938,i2431892662423
00003,857-kjc-111,o1336108796249
00003,898-rxs-154,w7839803663600
00004,116-wdl-059,h6971219877032
00004,359-qdk-706,d7340270328026
00004,493-fyb-121,p0126648261918
00004,555-niu-913,d9858014383660
00004,570-lwe-347,f2338856941909
00004,601-xdr-390,g5056026479965
00004,617-zjx-851,c7425424390056
00004,664-kkp-998,x0864219864945
00004,665-mpc-608,f1257743939800
00004,778-uou-595,k0880467790155
00004,805-svn-536,m4469253605532
00004,889-bqh-394,b0891358702681
00005,071-aem-797,n8954999835177
00005,147-nnk-395,d2381485695273
00005,282-adp-628,y0588794459804
00005,296-rtk-531,v8710606253394
00005,362-sbt-317,o5184937926186
00005,458-fme-530,r4059282550570
00005,649-xqt-711,k3213966445562
00005,861-nrt-341,a3343396882074
00006,227-dvl-150,s6155563194497
00006,256-slc-668,l2301546331442
00006,261-nhq-963,c2462242621859
00006,307-yqw-369,s8468767452219
00006,424-uyk-217,k3209915599355
00006,530-aou-553,e8270550557877
00006,690-ypr-645,a4659089826404
00006,853-hxa-360,k8689415027647
00006,998-zmx-339,e3392478084452
00007,047-lze-935,z5400154520616
00007,052-fep-041,r4972458957216
00007,315-udp-792,y3730851378004
00007,639-sue-417,t3283835661300
00007,856-fuj-806,p3373169657114
00007,869-vyv-740,z7653840021270
00007,963-cxs-841,g7867377139450
00008,068-scq-155,n2202320949856
00008,226-auk-795,x6544057026970
00008,346-mhn-415,w2683981328885
00008,608-xjn-225,j4987686097476
00008,679-nvv-542,l9591728291680
00008,681-mim-869,u2896803021290
00008,730-wmn-544,m3410204180572
00008,735-dfv-926,g4704216858532
00008,753-ixk-781,w5834995618748
00008,793-htu-870,v9568456598283
00008,966-tdz-204,b7994938591516
00009,011-lft-304,o3524963548237
00009,095-xop-942,h6922740641395
00009,108-axt-514,x8045640943505
00009,196-hwi-511,y1057636828126
00009,345-hzg-074,z1158099886306
00009,784-nad-783,c1623848146398
00009,830-vhi-161,z0870845481460
00009,837-tkr-458,e7975455215717
00010,015-fae-740,s7474689829778
00010,019-yix-433,t8972056321087
00010,066-egt-220,s3323595986007
00010,080-plw-842,q3031420280167
00010,169-hox-864,r8703745023174
00010,216-axx-770,s8683600099919
00010,228-aks-000,k7995342698112
00010,235-xcv-433,q6052958669216
00010,266-bqt-930,e3711904122984
00010,289-hdx-843,d0320604182817
00010,441-xmz-345,g0807801852715
00010,670-vyx-028,y0871298500102
00010,673-ibc-276,r6323450169280
00010,694-tnx-559,o4077517669497
00010,734-lvg-787,p3382100017965
00010,999-qwf-715,q0903996386382
00011,055-hgs-839,z5452013956762
00011,296-rqf-933,d8233496740805
00011,348-sgw-522,k9173279269599
00011,440-tlr-504,j0572891902515
00011,453-rtz-792,o6974287064557
00011,471-uan-345,f7107046955402
00011,476-ohr-719,p5053552269138
00011,922-yma-204,c6313384703947
00011,988-xcq-558,r7686676712822
00012,029-nds-973,p8988533369282
00012,035-wet-493,l1641813286728
00012,159-obr-212,o4962582076397
00012,321-gwk-216,u0275297604389
00012,339-lnx-963,n7075655524149
00012,403-ach-065,u8497238424008
00012,403-ezs-198,r4607457375903
00012,449-etw-047,p2366539273961
00012,618-stx-043,x2786368894190
00012,624-noa-959,u4633171170153
00012,813-ayp-803,m8107683511109
00012,876-laq-267,b3307418194582
00013,469-jdo-867,r5216836327407
00013,661-ggk-554,k9224958424081
00013,678-ulx-890,u7662994590699
00013,956-bhz-676,q0746017568723
00013,977-zdv-342,j0255240701861
00014,028-yhc-080,z4214872769394
00014,041-don-723,b8788604636240
00014,041-mru-409,z6610958588406
00014,161-avi-581,t3014785853904
00014,253-zpa-626,x5865092985238
00014,340-fcn-905,s5457835037559
00014,351-twr-717,u3786478770583
00014,798-jmt-036,a2769131425579
00014,837-hzh-968,s7936482018779
00014,933-nfu-063,u4698543474871
00015,000-fqd-818,y5708305880687
00015,015-yic-319,k8311816856778
00015,024-icm-680,i0190739466307
00015,112-yzv-501,a6218329576579
00015,114-ebo-783,v8170911512683
00015,465-nby-279,s9662492203635
00015,572-gdg-074,k3540962680972
00015,650-obn-128,i9346939455315
00015,661-vlp-537,q4994428225638
00015,668-oim-408,a9313626627831
00015,744-tbl-518,a8011967661554
00015,753-hlj-163,o4699703382930
00015,810-hdr-531,c7959876948268
00016,113-ebt-231,j1999328303542
00016,227-fnr-105,d1810554631924
00016,247-ara-012,d6549414712319
00016,254-yqs-491,z9504241704430
00016,299-pmz-159,z4476408330510
00016,300-tnp-087,a4323674519527
00016,468-udg-190,u9860548174177
00016,485-snb-197,u9671018199747
00016,626-rbe-502,a8999325810136
00016,659-rlo-074,m7056132905014
00016,878-rsc-214,z6014330656741
00016,954-kxh-975,r4028266687001
00017,099-cqy-714,m6698467154896
00017,437-dqr-686,o9251300908653
00017,452-oys-771,w9516493684105
00017,639-jja-895,e2064814464367
00017,672-lcd-370,t0310864721597
00017,915-msz-187,k6329140717595
00018,160-qya-275,l4294394045545
00018,358-qzx-167,g2613507474730
00018,482-zsp-641,v4787941975706
00018,695-zth-756,r7884465528198
00018,737-tax-821,q8309237180588
00018,915-qjv-957,g6940144032912
00018,943-nxw-355,n5201142917232
00018,944-joe-747,a8353741672215
00018,978-dhe-221,k9025522722238
00018,982-ylu-799,g4540072969850
00018,999-zxl-602,q6797377831656
00019,034-pum-696,b4013165952016
00019,172-jyq-133,y6413909734855
00019,239-avk-666,h1568201674784
00019,249-kzr-349,g8208927490637
00019,279-wdy-011,w0702507762905
00019,368-mok-194,y4570640856021
00019,423-rww-502,s3908969667497
00019,552-ybk-509,z2396889293136
00019,653-vye-933,i5312178256683
00019,701-jyo-619,s0871041833590
00019,793-rdn-600,z2546837883481
00019,826-abd-482,g1483609494643
00019,887-ccm-025,u2381935106050
00019,922-srr-945,s9521296860811
00019,985-mhi-012,c4179217161201
00020,075-kqs-355,r0728574462185
00020,216-wtu-679,w6357175554813
00020,393-afz-601,q2012123658496
00020,638-lxm-435,w0691478051750
00020,650-klv-370,u6962098853414
00020,750-kcd-619,f3818004198703
00020,760-ewc-932,i6005049719022
00020,780-rzc-889,f9000661338481
00020,977-ylc-269,m2561553903882
00020,992-zdz-801,v1026034221562
00021,047-vro-814,d5164584702121
00021,109-unm-272,a8820784579993
00021,142-ykq-290,j7555556413706
00021,148-fcl-995,p4676853315698
00021,762-afr-470,q7124159553875
00021,816-etk-950,t5692387540914
00021,845-xtb-244,h2296509941727
00021,857-nrk-685,r6579431093032
00022,057-eiu-183,w4960200549411
00022,109-lvn-259,i8656673569556
00022,133-nos-620,j3888007783513
00022,249-lcj-738,p2502304019486
00022,290-nmo-838,v3971617828860
00022,491-fgy-456,z7934227587835
00022,531-okt-289,c9424000168177
00022,637-ecl-652,o2124380195433
00022,727-bay-755,h5663322214203
00022,733-jnd-406,t7567035529554
00022,771-xzt-335,u2790744682297
00022,788-zaw-935,q7240130432343
00022,963-gpq-024,v0868644253490
00023,003-eqm-594,x8565054670810
00023,066-axl-213,d0863839883979
00023,075-xps-265,h2226594862462
00023,212-qkd-165,w1307758057460
00023,331-amn-268,n7585531388248
00023,419-hur-362,o3126613087714
00023,471-urf-104,f6456666781404
00023,812-rcg-367,h7323711859910
00023,874-uwi-643,m3295795606323
00023,882-llx-960,q5424416537812
00024,039-vdp-593,w7970923801818
00024,205-nvb-870,z4187240759520
00024,436-dxo-094,x1117943845982
00024,475-uhy-559,s2931303600086
00024,612-fnd-231,k5724199705341
00024,761-nut-793,o9445761364109
00024,865-wvu-031,w6119591528432
